Page,Trend,Seasonality,Serial Correlation (RAW),Serial Correlation (TSA),Skewness (RAW),Skewness (TSA),Kurtosis (RAW),Kurtosis (TSA),Self-Similarity,Chaos,Non-Linearity (TSA),Non-Linearity (RAW)
20NFA,0.062081307600969415,0.06606660310438306,59.002290101794884,65.90438292067873,-1.0688593086440934,0.4074385026750381,24.9842531892306,18.867401780938238,0.8528059105970437,-0.001709045866309958,13.20656517933549,17.460570605186888
PW5W6,0.07393013490215218,0.10168871396172684,20.326978686541445,10.519725557744216,0.2688061633396231,-0.09128633817620717,0.0667010006696227,0.4705460140522564,0.6822886314178823,0.0007074193705767093,2.082801767951508,3.646000418036945
8XSSG,0.06815532811495473,0.2585682842880227,182.21376565802987,123.00934865898864,2.2677738505832425,0.4033738066347615,6.137218075510099,8.734976379756283,0.7881808146181223,0.0002572048856396306,17.083662630631142,16.327737533564804
6QKWE,0.06079180011326135,0.684840424956842,204.9164457246825,115.20535124841663,-0.13930429101290406,-0.6533352629338234,0.9551886228781624,15.216999316788366,0.8115665220042036,0.002290588012927108,17.386275319802188,32.57880980710799
R00QR,0.07929804717454236,0.04409538226433085,66.92901864507104,69.02641109096248,0.0459773859472393,0.3940184617768441,10.108285390322383,6.521060120570722,0.7464714918905838,-0.001163257871355159,12.493294220227884,12.203951947787012
8OLIX,0.08838645813630175,0.09331728581508424,33.52879523787433,27.678887474658914,0.1310647443104831,-0.18848634739542944,-0.07187683483046259,0.4964754615283757,0.6954295089331243,0.0017102857897166642,6.2212133008473325,7.559062383137836
BTJPV,0.04531272331370317,0.14836445764519826,145.77474908231991,146.36745741024475,-0.6670407833033747,-1.0754044493050896,1.2023218197432888,1.339053333485568,0.9014764224339816,-0.00015887771685114193,24.673525119208065,27.18240337066354
J2VY9,0.05949932508766032,0.6575245847566944,174.53000847134757,72.84380964524674,-0.3663924190300292,-2.761414150556805,1.7964265502154555,26.851296155273428,0.9103047429461482,-0.0009648730860869645,22.154339001442537,51.43478710689964
FSNBK,0.06176461058607141,0.06025391866814778,164.04734369802281,121.89356259373209,2.6565847738631705,0.6483705549846257,7.74226760405163,7.5715134455976685,0.7966808969675401,-0.003401480367236885,17.137068526457085,15.128962327773877
PWXAW,0.0951388964523815,0.5836926316446012,113.31104474891441,17.776388141837046,5.000232207800062,0.6203267682799639,37.48317098834293,1.514115005617879,0.6148622327299197,0.05473259104821922,6.620676781617043,14.1093213770051
9EGYF,0.11017417261377993,0.14834686926970286,6.579183793221724,0.40419569653764187,-0.29142636920644804,0.030098468143950907,1.5121047577430176,0.2365986937918589,0.7132769449335203,-0.002788016551580044,3.1713868879776568,1.982919905201332
KBWDC,0.12705847739433385,0.8898344076448542,233.4841805368151,3.5680239923075576,0.7356901868259853,-6.2554870944004834,-0.7888286489528964,70.89775033208981,0.7260113223414301,0.011855702957855156,4.702997382738923,47.323168724184185
791AS,0.13910790899957134,0.858623109237014,242.38154409971213,3.1113421576514333,1.6967207433637683,-1.3634534363924478,1.4952623249654382,13.289938643320568,0.7175707712672477,0.0328567913600377,5.6189086849214505,25.86647896500022
YXQU2,0.04605633188243763,0.8286338708424175,180.10685489807068,48.43466991709989,2.4561731779106077,0.05220068911297592,7.416578666881491,3.171622716130525,0.5281363450762497,0.02377386689186091,18.198840714951945,13.929268440597296
DC7FP,0.10673056780859068,0.8353457157357399,242.812199507402,0.1308914263199323,1.3479341809876697,-12.600251499698011,0.5724844012284658,190.9603381921252,0.8467992816333131,0.02064727123518644,1.776949256913459,31.15658318879988
